ins,commune,population
72038,Hechtel-Eksel,12510
72039,Houthalen-Helchteren,30550
72041,Dilsen-Stokkem,20693
72042,Oudsbergen,23615
72043,Pelt,33076
73000,Arrondissement de Tongres,204943
73001,Alken,11626
73006,Bilzen,32477
73009,Looz,11010
73022,Heers,7337
73028,Herstappe,79
73032,Hoeselt,9730
73040,Kortessem,8437
73042,Lanaken,25884
73066,Riemst,16759
73083,Tongres,31142
73098,Wellen,7354
73107,Maasmechelen,38933
73109,Fourons,4175
80000,Province du Luxembourg,286752
81000,Arrondissement d’Arlon,62996
81001,Arlon,30081
81003,Attert,5646
81004,Aubange,17146
81013,Martelange,1857
81015,Messancy,8266
82000,Arrondissement de Bastogne,49083
82003,Bastogne,16276
82005,Bertogne,3656
82009,Fauvillers,2319
82014,Houffalize,5207
82032,Vielsalm,7886
82036,Vaux-sur-Sûre,5734
82037,Gouvy,5397
82038,Sainte-Ode,2608
83000,Arrondissement de Marche-en-Famenne,56771
83012,Durbuy,11458
83013,Erezée,3267
83028,Hotton,5635
83031,La Roche-en-Ardenne,4192
83034,Marche-en-Famenne,17591
83040,Nassogne,5568
83044,Rendeux,2641
83049,Tenneville,2848
83055,Manhay,3571
84000,Arrondissement de Neufchâteau,63763
84009,Bertrix,8844
84010,Bouillon,5427
84016,Daverdisse,1382
84029,Herbeumont,1649
84033,Léglise,5553
84035,Libin,5245
84043,Neufchâteau (Neufchâteau),7795
84050,Paliseul,5392
84059,Saint-Hubert,5605
84068,Tellin,2443
84075,Wellin,3108
84077,Libramont-Chevigny,11320
85000,Arrondissement de Virton,54139
85007,Chiny,5226
85009,Etalle,5961
85011,Florenville,5594
85024,Meix-devant-Virton,2810
85026,Musson,4659
85034,Saint-Léger (Virton),3656
85039,Tintigny,4302
85045,Virton,11341
85046,Habay,8477
85047,Rouvroy,2113
90000,Province de Namur,495832
91000,Arrondissement de Dinant,111286
91005,Anhée,7143
91013,Beauraing,9157
91015,Bièvre,3362
91030,Ciney,16706
91034,Dinant,13374
91054,Gedinne,4652
91059,Hamois,7364
91064,Havelange,5237
91072,Houyet,4987
91103,Onhaye,3230
91114,Rochefort,12571
91120,Somme-Leuze,5799
91141,Yvoir,9109
91142,Hastière,6016
91143,Vresse-sur-Semois,2579
92000,Arrondissement de Namur,318231
92003,Andenne,27573
92006,Assesse,7090
92035,Eghezée,16448
92045,Floreffe,8148
92048,Fosses-la-Ville,10469
92054,Gesves,7208
92087,Mettet,13153
92094,Namur,111432
92097,Ohey,5142
92101,Profondeville,12176
92114,Sombreffe,8480
92137,Sambreville,28372
92138,Fernelmont,8067
92140,Jemeppe-sur-Sambre,19100
92141,La Bruyère,9232
92142,Gembloux,26141
93000,Arrondissement de Philippeville,66315
93010,Cerfontaine,4987
93014,Couvin,13838
93018,Doische,2970
93022,Florennes,11266
93056,Philippeville,9201
93088,Walcourt,18407
93090,Viroinval,5646
,,
Source: Statbel (Direction générale Statistique – Statistics Belgium ),,
Bron: Statbel (Algemene Directie Statistiek – Statistics Belgium ),,
Source: Statbel (Directorate-general Statistics – Statistics Belgium ),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
